feature,importance
vaccine_trust,0.9430238301271483
perceived_network_risk,0.023564515426795257
trust_gov_state,0.012082995640388134
county_density,0.009048679713117477
age,0.007023336216775693
trust_science_polmotives,0.0033289357537808523
fear_needles,0.0015304240840710013
trust_gov_local,0.0003972830379233248
trust_science_media,0.0
infected_personal,0.0
infected_network,0.0
president_approval,0.0
trump_approval_retrospective,0.0
trust_science_politicians,0.0
evangelical,0.0
income,0.0
pandemic_impact_personal,0.0
race_2,0.0
race_3,0.0
race_4,0.0
party_id_Independent,0.0
party_id_Libertarian,0.0
party_id_Other party,0.0
pandemic_impact_network,0.0
psindex,0.0
college,0.0
nsindex,0.0
trust_science_community,0.0
trust_gov_nat,0.0
trust_media,0.0
perceived_personal_riskq297_4,0.0
doctor_comfort,0.0
condition_pregnant,0.0
condition_asthma,0.0
condition_lung,0.0
condition_diabetes,0.0
condition_immune,0.0
condition_obesity,0.0
condition_heart,0.0
condition_organ,0.0
male,0.0
individual_responsibility,0.0
party_id_Republican,0.0
