feature,coefficient,abs_coefficient
vaccine_trust,-2.28521578164263,2.28521578164263
president_approval,-0.7043508260553372,0.7043508260553372
race_2,0.44968876252953643,0.44968876252953643
perceived_network_risk,-0.37635923036771635,0.37635923036771635
age,-0.3676213739571005,0.3676213739571005
condition_immune,-0.36386463116141143,0.36386463116141143
college,-0.3229332038448383,0.3229332038448383
trust_media,0.24453666126978071,0.24453666126978071
trust_gov_local,0.18944632799278444,0.18944632799278444
trust_gov_state,0.1763499146245913,0.1763499146245913
income,-0.13165961681817134,0.13165961681817134
fear_needles,0.13143378815550577,0.13143378815550577
doctor_comfort,-0.10319385481530098,0.10319385481530098
trust_science_polmotives,0.09196799973200015,0.09196799973200015
infected_network,-0.08634008714364959,0.08634008714364959
nsindex,-0.053538756908983555,0.053538756908983555
individual_responsibility,0.05210579684964685,0.05210579684964685
perceived_personal_riskq297_4,-0.04672697056038645,0.04672697056038645
trust_science_politicians,-0.043217950316929626,0.043217950316929626
psindex,-0.03646312212158437,0.03646312212158437
trust_gov_nat,0.009424555154499803,0.009424555154499803
party_id_Republican,-0.0032988784736334735,0.0032988784736334735
trust_science_community,0.0,0.0
county_density,0.0,0.0
condition_pregnant,0.0,0.0
condition_lung,0.0,0.0
condition_asthma,0.0,0.0
infected_personal,0.0,0.0
pandemic_impact_network,0.0,0.0
pandemic_impact_personal,0.0,0.0
male,0.0,0.0
condition_diabetes,0.0,0.0
condition_obesity,0.0,0.0
condition_heart,0.0,0.0
condition_organ,0.0,0.0
trust_science_media,0.0,0.0
trump_approval_retrospective,0.0,0.0
race_3,0.0,0.0
evangelical,0.0,0.0
race_4,0.0,0.0
party_id_Independent,0.0,0.0
party_id_Libertarian,0.0,0.0
party_id_Other party,0.0,0.0
