feature,coefficient,abs_coefficient
condition_pregnant,-0.9356333481062445,0.9356333481062445
race_2,0.8852557308576945,0.8852557308576945
perceived_network_risk,-0.8289611240522459,0.8289611240522459
condition_organ,0.7296062565590726,0.7296062565590726
party_id_Other party,0.7286791838073795,0.7286791838073795
president_approval,-0.704036061160711,0.704036061160711
condition_immune,-0.6719360531599535,0.6719360531599535
college,-0.6711785554446799,0.6711785554446799
age,-0.5983096518655879,0.5983096518655879
party_id_Libertarian,0.5196768602176167,0.5196768602176167
doctor_comfort,-0.49585511271098065,0.49585511271098065
trust_science_community,-0.46362271373927116,0.46362271373927116
infected_personal,0.3426337458493005,0.3426337458493005
condition_lung,0.31495145976226596,0.31495145976226596
perceived_personal_riskq297_4,0.2538918926284718,0.2538918926284718
male,-0.25388178918887366,0.25388178918887366
trump_approval_retrospective,0.2533786647743254,0.2533786647743254
evangelical,0.23459206571299626,0.23459206571299626
party_id_Independent,0.20936157883819143,0.20936157883819143
race_4,-0.17961787477252628,0.17961787477252628
pandemic_impact_personal,-0.17324709764527746,0.17324709764527746
income,-0.1519260894138825,0.1519260894138825
infected_network,-0.15019842259677738,0.15019842259677738
trust_science_polmotives,-0.13768035451675717,0.13768035451675717
trust_gov_state,0.13745503640108142,0.13745503640108142
individual_responsibility,0.12965577210657234,0.12965577210657234
race_3,0.09734202117747728,0.09734202117747728
nsindex,-0.09701936603612595,0.09701936603612595
party_id_Republican,-0.08167956525290865,0.08167956525290865
fear_needles,0.08064810750564275,0.08064810750564275
condition_asthma,0.06041986016737831,0.06041986016737831
condition_heart,-0.05673326370274789,0.05673326370274789
condition_diabetes,-0.05408333844119488,0.05408333844119488
psindex,0.04949124379585642,0.04949124379585642
trust_media,0.040909211613351815,0.040909211613351815
trust_science_politicians,0.021942648475891904,0.021942648475891904
county_density,-0.019028102582664273,0.019028102582664273
trust_science_media,0.01809276096522393,0.01809276096522393
condition_obesity,0.017999804451194354,0.017999804451194354
pandemic_impact_network,0.017069064019065595,0.017069064019065595
trust_gov_local,-0.012744390393253657,0.012744390393253657
trust_gov_nat,-0.0031094792916766937,0.0031094792916766937
