feature,importance
perceived_network_risk,0.13536565463680247
trust_science_community,0.10253492764401619
age,0.09748926119694908
perceived_personal_riskq297_4,0.07656116139575515
doctor_comfort,0.0753166759125697
trust_science_polmotives,0.053015696070841056
county_density,0.05293344109422749
income,0.03562959816546677
trust_media,0.02907961188219401
president_approval,0.028778490770004952
college,0.026797117606678217
fear_needles,0.026307339501612986
trust_gov_nat,0.0254892742883437
trust_gov_local,0.02336901632995423
trust_science_media,0.02182948976256116
trust_gov_state,0.02132611617332802
individual_responsibility,0.0203323734796209
pandemic_impact_personal,0.019401026515702205
trust_science_politicians,0.01798065580634583
pandemic_impact_network,0.017363328822631145
trump_approval_retrospective,0.015596710782015544
male,0.011376945228236568
race_2,0.007700911365775154
psindex,0.007684175246689941
infected_network,0.00743864261770575
evangelical,0.006728704494790036
nsindex,0.006267188651003719
party_id_Republican,0.005498376232873775
party_id_Independent,0.00489693117274427
race_3,0.0041044387575887905
party_id_Other party,0.0036153168251368433
condition_diabetes,0.0028164518796383476
infected_personal,0.002123853719265685
race_4,0.0021208434765648395
condition_obesity,0.0018869911879610085
condition_asthma,0.0011945887524972484
condition_heart,0.0009149010865568935
condition_immune,0.0004882493864610941
condition_organ,0.00025319061783897
condition_lung,0.00021344951403922354
party_id_Libertarian,0.00017888194901112374
condition_pregnant,0.0
