feature,coefficient,abs_coefficient
vaccine_trust,-2.300724500330359,2.300724500330359
race_2,0.719909456558508,0.719909456558508
president_approval,-0.6583048769115152,0.6583048769115152
condition_immune,-0.6371285455477295,0.6371285455477295
perceived_network_risk,-0.38766983237400743,0.38766983237400743
age,-0.3776331472846923,0.3776331472846923
party_id_Libertarian,0.3559478910918481,0.3559478910918481
college,-0.3319911268158086,0.3319911268158086
trump_approval_retrospective,0.30638994927223145,0.30638994927223145
trust_media,0.27709105520690425,0.27709105520690425
party_id_Other party,0.2332926630834478,0.2332926630834478
condition_pregnant,-0.20897618144129224,0.20897618144129224
trust_gov_local,0.20754043127721924,0.20754043127721924
trust_gov_state,0.18907470722851036,0.18907470722851036
condition_organ,0.18096422511996252,0.18096422511996252
income,-0.1643087552968204,0.1643087552968204
fear_needles,0.15606486922134313,0.15606486922134313
trust_science_polmotives,0.15228055235034835,0.15228055235034835
race_3,0.1488716707534855,0.1488716707534855
doctor_comfort,-0.1463439767463831,0.1463439767463831
infected_network,-0.12847569916252372,0.12847569916252372
infected_personal,0.1093985581763533,0.1093985581763533
male,0.10064328394565976,0.10064328394565976
race_4,-0.09890084264871979,0.09890084264871979
trust_science_politicians,-0.0982048113125797,0.0982048113125797
condition_asthma,-0.09312491330779452,0.09312491330779452
nsindex,-0.07871407297104921,0.07871407297104921
condition_obesity,-0.07863154278401416,0.07863154278401416
party_id_Independent,0.07756782556548428,0.07756782556548428
condition_diabetes,-0.07694861174945146,0.07694861174945146
individual_responsibility,0.07383274276769716,0.07383274276769716
condition_heart,-0.0672651649049811,0.0672651649049811
perceived_personal_riskq297_4,-0.06097422963874494,0.06097422963874494
psindex,-0.05640882218563925,0.05640882218563925
pandemic_impact_network,-0.05282893178146265,0.05282893178146265
trust_science_media,0.04734627807477961,0.04734627807477961
party_id_Republican,-0.04159315523872411,0.04159315523872411
trust_gov_nat,0.039356713767774026,0.039356713767774026
pandemic_impact_personal,0.031220961094674152,0.031220961094674152
trust_science_community,-0.02376602493227757,0.02376602493227757
condition_lung,-0.02333980500267185,0.02333980500267185
evangelical,-0.010266483543424293,0.010266483543424293
county_density,-0.009022127162337367,0.009022127162337367
